id,initial_charge,output_targets,neuron_type,rules
68,0,"[4440, -4439, 4414, -4413, -5116, 5115, -5090, 5089, -5792, -5791, 5766, 5765, 6468, 6467, -6442, -6441, -7144, 7143, 7118, -7117, 7820, -7819, -7794, 7793]",0,"[0,1,1,1,0]"
69,0,"[4441, -4440, 4415, -4414, -5117, 5116, -5091, 5090, -5793, -5792, 5767, 5766, 6469, 6468, -6443, -6442, -7145, 7144, 7119, -7118, 7821, -7820, -7795, 7794]",0,"[0,1,1,1,0]"
70,0,"[4442, -4441, 4416, -4415, -5118, 5117, -5092, 5091, -5794, -5793, 5768, 5767, 6470, 6469, -6444, -6443, -7146, 7145, 7120, -7119, 7822, -7821, -7796, 7795]",0,"[0,1,1,1,0]"
71,0,"[4443, -4442, 4417, -4416, -5119, 5118, -5093, 5092, -5795, -5794, 5769, 5768, 6471, 6470, -6445, -6444, -7147, 7146, 7121, -7120, 7823, -7822, -7797, 7796]",0,"[0,1,1,1,0]"
72,0,"[4444, -4443, 4418, -4417, -5120, 5119, -5094, 5093, -5796, -5795, 5770, 5769, 6472, 6471, -6446, -6445, -7148, 7147, 7122, -7121, 7824, -7823, -7798, 7797]",0,"[0,1,1,1,0]"
73,0,"[4445, -4444, 4419, -4418, -5121, 5120, -5095, 5094, -5797, -5796, 5771, 5770, 6473, 6472, -6447, -6446, -7149, 7148, 7123, -7122, 7825, -7824, -7799, 7798]",0,"[0,1,1,1,0]"
74,0,"[4446, -4445, 4420, -4419, -5122, 5121, -5096, 5095, -5798, -5797, 5772, 5771, 6474, 6473, -6448, -6447, -7150, 7149, 7124, -7123, 7826, -7825, -7800, 7799]",0,"[0,1,1,1,0]"
75,0,"[4447, -4446, 4421, -4420, -5123, 5122, -5097, 5096, -5799, -5798, 5773, 5772, 6475, 6474, -6449, -6448, -7151, 7150, 7125, -7124, 7827, -7826, -7801, 7800]",0,"[0,1,1,1,0]"
76,0,"[4448, -4447, 4422, -4421, -5124, 5123, -5098, 5097, -5800, -5799, 5774, 5773, 6476, 6475, -6450, -6449, -7152, 7151, 7126, -7125, 7828, -7827, -7802, 7801]",0,"[0,1,1,1,0]"
77,0,"[4449, -4448, 4423, -4422, -5125, 5124, -5099, 5098, -5801, -5800, 5775, 5774, 6477, 6476, -6451, -6450, -7153, 7152, 7127, -7126, 7829, -7828, -7803, 7802]",0,"[0,1,1,1,0]"
78,0,"[4450, -4449, 4424, -4423, -5126, 5125, -5100, 5099, -5802, -5801, 5776, 5775, 6478, 6477, -6452, -6451, -7154, 7153, 7128, -7127, 7830, -7829, -7804, 7803]",0,"[0,1,1,1,0]"
79,0,"[4451, -4450, 4425, -4424, -5127, 5126, -5101, 5100, -5803, -5802, 5777, 5776, 6479, 6478, -6453, -6452, -7155, 7154, 7129, -7128, 7831, -7830, -7805, 7804]",0,"[0,1,1,1,0]"
80,0,"[-4451, -4425, 5127, 5101, -5803, 5777, 6479, -6453, 7155, -7129, -7831, 7805]",0,"[0,1,1,1,0]"
81,0,"[4452, 4426, -5128, -5102, -5804, 5778, 6480, -6454, -7156, 7130, 7832, -7806]",0,"[0,1,1,1,0]"
82,0,"[4453, -4452, 4427, -4426, -5129, 5128, -5103, 5102, -5805, -5804, 5779, 5778, 6481, 6480, -6455, -6454, -7157, 7156, 7131, -7130, 7833, -7832, -7807, 7806]",0,"[0,1,1,1,0]"
83,0,"[4454, -4453, 4428, -4427, -5130, 5129, -5104, 5103, -5806, -5805, 5780, 5779, 6482, 6481, -6456, -6455, -7158, 7157, 7132, -7131, 7834, -7833, -7808, 7807]",0,"[0,1,1,1,0]"
84,0,"[4455, -4454, 4429, -4428, -5131, 5130, -5105, 5104, -5807, -5806, 5781, 5780, 6483, 6482, -6457, -6456, -7159, 7158, 7133, -7132, 7835, -7834, -7809, 7808]",0,"[0,1,1,1,0]"
85,0,"[4456, -4455, 4430, -4429, -5132, 5131, -5106, 5105, -5808, -5807, 5782, 5781, 6484, 6483, -6458, -6457, -7160, 7159, 7134, -7133, 7836, -7835, -7810, 7809]",0,"[0,1,1,1,0]"
86,0,"[4457, -4456, 4431, -4430, -5133, 5132, -5107, 5106, -5809, -5808, 5783, 5782, 6485, 6484, -6459, -6458, -7161, 7160, 7135, -7134, 7837, -7836, -7811, 7810]",0,"[0,1,1,1,0]"
87,0,"[4458, -4457, 4432, -4431, -5134, 5133, -5108, 5107, -5810, -5809, 5784, 5783, 6486, 6485, -6460, -6459, -7162, 7161, 7136, -7135, 7838, -7837, -7812, 7811]",0,"[0,1,1,1,0]"
88,0,"[4459, -4458, 4433, -4432, -5135, 5134, -5109, 5108, -5811, -5810, 5785, 5784, 6487, 6486, -6461, -6460, -7163, 7162, 7137, -7136, 7839, -7838, -7813, 7812]",0,"[0,1,1,1,0]"
89,0,"[4460, -4459, 4434, -4433, -5136, 5135, -5110, 5109, -5812, -5811, 5786, 5785, 6488, 6487, -6462, -6461, -7164, 7163, 7138, -7137, 7840, -7839, -7814, 7813]",0,"[0,1,1,1,0]"
90,0,"[4461, -4460, 4435, -4434, -5137, 5136, -5111, 5110, -5813, -5812, 5787, 5786, 6489, 6488, -6463, -6462, -7165, 7164, 7139, -7138, 7841, -7840, -7815, 7814]",0,"[0,1,1,1,0]"
